year,state,district,county_name,county_fips,dem_candidate,rep_candidate,lib_candidate,precincts,dem_votes,rep_votes,lib_votes,total_votes,dem_share,rep_share,lib_share,two_party_dem_share,rep_margin,rep_margin_share,winner_party,county_registered_voters,county_voters_voting,county_turnout_pct_reported,county_turnout_rate,county_election_day_votes,county_absentee_votes,county_absentee_share_reported,county_absentee_share,county_source,districts_in_county,county_split_in_year,county_2024_total_population,county_2024_median_age,county_2024_white_alone,county_2024_black_alone,county_2024_american_indian_alaska_native,county_2024_asian_alone,county_2024_native_hawaiian_pacific_islander,county_2024_other_race_alone,county_2024_two_or_more_races,county_2024_hispanic_or_latino,county_2024_white_share,county_2024_black_share,county_2024_asian_share,county_2024_hispanic_share,county_2024_population_25_plus,county_2024_high_school_or_higher,county_2024_high_school_or_higher_share,county_2024_bachelors_or_higher,county_2024_bachelors_or_higher_share,county_2024_median_household_income,county_2024_labor_force,county_2024_unemployed,county_2024_unemployment_rate,county_2024_poverty_universe,county_2024_poverty_count,county_2024_poverty_rate,county_2024_occupied_housing_units,county_2024_owner_occupied_housing_units,county_2024_owner_occupied_share,county_2024_source
2018,Indiana,9,Brown,18013,Liz Watson,Trey Hollingsworth,,12,3002,4169,0,7171,0.418631,0.581369,0.0,0.418631,1167,0.162739,Republican,11953,7340,0.61,0.614072,4506,2834,0.39,0.386104,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Clark,18019,Liz Watson,Trey Hollingsworth,,72,19208,23722,0,42930,0.447426,0.552574,0.0,0.447426,4514,0.105148,Republican,89470,49383,0.55,0.55195,40678,8705,0.18,0.176275,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Crawford,18025,Liz Watson,Trey Hollingsworth,,13,1395,1972,0,3367,0.414315,0.585685,0.0,0.414315,577,0.171369,Republican,7707,4073,0.53,0.528481,3279,794,0.19,0.194942,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,8;9,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Floyd,18043,Liz Watson,Trey Hollingsworth,,60,14508,17311,0,31819,0.455954,0.544046,0.0,0.455954,2803,0.088092,Republican,58320,32191,0.55,0.551972,17175,15016,0.47,0.466466,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Harrison,18061,Liz Watson,Trey Hollingsworth,,40,5415,10121,0,15536,0.348545,0.651455,0.0,0.348545,4706,0.302909,Republican,28336,15825,0.56,0.558477,12176,3649,0.23,0.230585,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Jackson,18071,Liz Watson,Trey Hollingsworth,,30,4481,9935,0,14416,0.310835,0.689165,0.0,0.310835,5454,0.37833,Republican,27976,14828,0.53,0.530026,10238,4590,0.31,0.30955,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Johnson,18081,Liz Watson,Trey Hollingsworth,,134,18039,33664,0,51703,0.348897,0.651103,0.0,0.348897,15625,0.302207,Republican,103953,52220,0.5,0.502342,27998,24222,0.46,0.463845,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Lawrence,18093,Liz Watson,Trey Hollingsworth,,40,4907,10549,0,15456,0.317482,0.682518,0.0,0.317482,5642,0.365036,Republican,30766,15724,0.51,0.511084,8878,6846,0.44,0.435385,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Monroe,18105,Liz Watson,Trey Hollingsworth,,83,35579,16209,0,51788,0.687012,0.312988,0.0,0.687012,-19370,-0.374025,Democratic,97210,52343,0.54,0.538453,27359,24984,0.48,0.477313,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Morgan,18109,Liz Watson,Trey Hollingsworth,,36,4595,12353,0,16948,0.271123,0.728877,0.0,0.271123,7758,0.457753,Republican,48280,25480,0.53,0.527755,13061,12419,0.49,0.487402,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,4;9,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Orange,18117,Liz Watson,Trey Hollingsworth,,22,2277,4495,0,6772,0.336237,0.663763,0.0,0.336237,2218,0.327525,Republican,13508,6933,0.51,0.513251,5490,1443,0.21,0.208135,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indiana,9,Scott,18143,Liz Watson,Trey Hollingsworth,,8,1667,2379,0,4046,0.412012,0.587988,0.0,0.412012,712,0.175976,Republican,16949,7920,0.47,0.467284,5827,2093,0.26,0.264268,https://www.in.gov/sos/elections/voter-information/files/2018-General-Election-Turnout-from-the-ENR-page.pdf,6;9,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Indiana,9,Brown,18013,Andy Ruff,Trey Hollingsworth,Tonya L. Millis,13,2831,5643,391,8865,0.319346,0.636548,0.044106,0.334081,2812,0.331839,Republican,12622,8991,0.71,0.712328,3154,5837,0.65,0.649205,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration_20201202_052923PM.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
