year,county_name,registered_voters,voters_voting,turnout_pct_reported,turnout_rate,election_day_votes,absentee_votes,absentee_share_reported,absentee_share,source
2022,Johnson,115837,45395,0.39,0.391887,24173,21222,0.47,0.467496,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Knox,22379,10431,0.47,0.466107,6610,3821,0.37,0.366312,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Kosciusko,54340,23280,0.43,0.428414,18856,4424,0.19,0.190034,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,LaGrange,16659,6701,0.4,0.402245,5490,1211,0.18,0.180719,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Lake,369255,136315,0.37,0.369162,89145,47170,0.35,0.346037,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,La Porte,79451,32554,0.41,0.409737,22154,10400,0.32,0.319469,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Lawrence,33348,13000,0.39,0.389828,6743,6257,0.48,0.481308,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Madison,90563,36198,0.4,0.3997,20025,16173,0.45,0.446793,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Marion,658578,224149,0.34,0.340353,151718,72431,0.32,0.323138,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Marshall,29743,12933,0.43,0.434825,8832,4101,0.32,0.317096,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Martin,7706,3606,0.47,0.467947,2576,1030,0.29,0.285635,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Miami,22004,8642,0.39,0.392747,4403,4239,0.49,0.490511,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Monroe,98406,40489,0.41,0.411448,22681,17808,0.44,0.439823,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Montgomery,25650,9927,0.39,0.387018,5971,3956,0.4,0.398509,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Morgan,52501,21572,0.41,0.410887,11602,9970,0.46,0.462173,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Newton,10137,4082,0.4,0.402683,3477,605,0.15,0.148212,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Noble,30183,11675,0.39,0.386807,7724,3951,0.34,0.338415,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Ohio,5124,1997,0.39,0.389735,1320,677,0.34,0.339009,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Orange,14032,5500,0.39,0.391961,4266,1234,0.22,0.224364,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Owen,15057,6301,0.42,0.418476,3778,2523,0.4,0.400413,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Parke,10137,4568,0.45,0.450626,3307,1261,0.28,0.276051,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Perry,13266,6389,0.48,0.481607,3477,2912,0.46,0.455783,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Pike,9088,3742,0.41,0.411752,2325,1417,0.38,0.378675,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Porter,133292,58929,0.44,0.442105,35413,23431,0.4,0.397614,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Posey,18503,8889,0.48,0.480409,6052,2837,0.32,0.319159,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
2022,Pulaski,9119,3851,0.42,0.422305,2659,1192,0.31,0.30953,https://www.in.gov/sos/elections/voter-information/files/Election_Turnout_and_Registration-2022-General.pdf
