year,state,district,office,county_name,county_fips,jurisdiction,precinct,dem_candidate,rep_candidate,lib_candidate,dem_votes,rep_votes,lib_votes,other_votes,total_votes,dem_share,rep_share,lib_share,two_party_dem_share,rep_margin,rep_margin_share,winner_party,county_registered_voters,county_voters_voting,county_turnout_pct_reported,county_turnout_rate,county_election_day_votes,county_absentee_votes,county_absentee_share_reported,county_absentee_share,county_source,districts_in_county,county_split_in_year
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 10,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",355,280,17,0,652,0.544479,0.429448,0.026074,0.559055,-75,-0.11811,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 11,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",462,268,20,0,750,0.616,0.357333,0.026667,0.632877,-194,-0.265753,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 13,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",186,162,9,0,357,0.521008,0.453782,0.02521,0.534483,-24,-0.068966,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 14,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",367,287,16,0,670,0.547761,0.428358,0.023881,0.561162,-80,-0.122324,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 16,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",277,256,10,0,543,0.510129,0.471455,0.018416,0.5197,-21,-0.0394,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 18,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",318,230,17,0,565,0.562832,0.40708,0.030088,0.580292,-88,-0.160584,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 19,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",247,269,10,0,526,0.469582,0.511407,0.019011,0.478682,22,0.042636,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 20,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",318,405,17,0,740,0.42973,0.547297,0.022973,0.439834,87,0.120332,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 21,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",173,159,8,0,340,0.508824,0.467647,0.023529,0.521084,-14,-0.042169,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 22,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",245,223,12,0,480,0.510417,0.464583,0.025,0.523504,-22,-0.047009,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 23,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",313,238,18,0,569,0.550088,0.418278,0.031634,0.568058,-75,-0.136116,Democratic,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 24,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",168,170,7,0,345,0.486957,0.492754,0.02029,0.497041,2,0.005917,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 25,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",155,179,4,0,338,0.45858,0.529586,0.011834,0.464072,24,0.071856,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 26,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",290,354,12,0,656,0.442073,0.539634,0.018293,0.450311,64,0.099379,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 27,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",253,260,14,0,527,0.480076,0.493359,0.026565,0.493177,7,0.013645,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 28,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",318,404,19,0,741,0.42915,0.545209,0.025641,0.440443,86,0.119114,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 29,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",287,287,15,0,589,0.487267,0.487267,0.025467,0.5,0,0.0,Tie,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 30,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",236,438,15,0,689,0.342525,0.635704,0.021771,0.350148,202,0.299703,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Floyd,18043,Floyd,New Albany - 31,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",368,738,20,0,1126,0.326821,0.655417,0.017762,0.332731,370,0.334539,Republican,62972,41686,0.66,0.661977,13566,28120,0.67,0.674567,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
